entityid,TYPE,NAME,ADDRESS,LOCATION,LATITUDE,LONGITUDE
,PLAYGROUND,MCDERMID SCHOOL - PLAYGROUND 125 TORONTO ST,139 TORONTO STREET,MCDERMID SCHOOL,50.4767647020001,-104.598028812
,PLAYGROUND,DALGLIESH PARK - PLAYGROUND 50 DALGLIESH DR,50 DALGLIESH DRIVE,DALGLIESH PARK,50.4864311190001,-104.648951626
,ATHLETIC FIELD,ST. TIMOTHY MULTI - ATHLETIC FIELD MULTI-USE ATHLETIC FIELD,280 SANGSTER BOULEVARD,ST. TIMOTHY MULTI,50.4906593380001,-104.63359016
,FIRE,FIRE HALL NO. 2,1700 9TH AVENUE N,WILLIAM MOFFAT FIRE HALL,50.4846930740001,-104.605753675
,ATHLETIC FIELD,ST. BERNADETTE SCHOOL - ATHLETIC FIELD SOCCER ATHLETIC FIELD,727 N MCINTOSH STREET,ST. BERNADETTE SCHOOL,50.488797242,-104.651169491
,PUBLIC ELEMENTARY SCHOOL,WILFRED HUNT - PUBLIC ELEMENTARY SCHOOL,101 MAYFIELD ROAD,WILFRED HUNT - PUBLIC ELEMENTARY SCHOOL,50.4296931010001,-104.562706535
,ATHLETIC FIELD,BASTEDO PARK  - ATHLETIC FIELD SOCCER ATHLETIC FIELD,87 MCSHERRY CRESCENT,BASTEDO PARK,50.4724445260001,-104.671827817
,PLAYGROUND,DOUGLAS PARK SCHOOL N - PLAYGROUND 621 E DOUGLAS AVE,635 E DOUGLAS AVENUE,DOUGLAS PARK SCHOOL N,50.432972814,-104.574670644
,ATHLETIC FIELD,LESLIE LAWNBOWLING PARK GREEN "A" (WEST END) - ATHLETIC FIELD MULTI-USE ATHLETIC FIELD,3820 VICTORIA AVENUE,LESLIE LAWNBOWLING PARK GREEN "A" (WEST END),50.447561023,-104.6377266
,PLAYGROUND,LITZENBERGER PARK - PLAYGROUND 100 RINK AVE,100 RINK AVENUE,LITZENBERGER PARK,50.4888563470001,-104.649211544
